experiment_id,episode,avg_eval_score
run_17,150,-156.79097606055888
run_17,155,-155.94032130456034
run_17,160,-132.1424847609926
run_17,165,-134.23751997067137
run_17,170,-117.44169592965451
run_17,175,-37.183999270382586
run_17,180,-38.04076476075695
run_17,185,-18.962288316534064
run_17,190,-53.31382258790238
run_17,195,-41.33874843838123
run_17,200,-26.010419140777675
run_17,205,-28.32374969663354
run_17,210,-29.15559746354853
run_17,215,-7.398177302092184
run_17,220,-170.802266513681
run_17,225,-58.412148805233116
run_17,230,-7.632454087819186
run_17,235,150.32344438470471
run_17,240,-80.9854539703314
run_17,245,-61.747953947973954
run_17,250,86.57530953999456
run_17,255,181.7405198521978
run_17,260,-134.79603540775048
run_17,265,-25.24355137044602
run_17,270,142.07768081298374
run_17,275,15.750434896789994
run_17,280,108.2853191975806
run_17,285,145.9692068938409
run_17,290,62.37229942745736
run_17,295,3.6383706540087433
run_17,300,235.671103511492
run_17,305,89.81324843660967
run_17,310,198.802585077247
run_17,315,132.8619063066946
run_17,320,198.01470257264742
run_17,325,56.8820782376642
run_17,330,110.6114781452641
run_17,335,234.12893702643146
run_17,340,133.52744817763624
run_17,345,236.58513963894538
run_17,350,181.7829111887773
run_17,355,214.27261749876584
run_17,360,251.18444240044204
run_18,5,-593.697768202533
run_18,10,-233.12066143378834
run_18,15,-77.24751550879839
run_18,20,-136.3292641401403
run_18,25,-134.8692901907917
run_18,30,-133.12195869231192
run_18,35,-117.40671782476582
run_18,40,-119.05426152361466
run_18,45,-94.95545285073604
run_18,50,-76.25253062833515
run_18,55,-61.35756160246653
run_18,60,-64.73357988568047
run_18,65,-36.60930425623534
run_18,70,-137.31025525116524
run_18,75,-132.24401234417013
run_18,80,-129.1834647515594
run_18,85,-224.5511847614479
run_18,90,-197.69507768197656
run_18,95,-200.30256967888073
run_18,100,-217.00148207787956
run_18,105,-173.6202149318198
run_18,110,-128.82232891815542
run_18,115,-162.04314753913314
run_18,120,-138.77088785999928
run_18,125,-110.48874652466638
run_18,130,-150.2980433822398
run_18,135,-134.63532151494394
run_18,140,-142.28675376247446
run_18,145,-147.27118193719303
run_18,150,-66.00938292114901
run_18,155,-47.731738578531925
run_18,160,-44.09551655594767
run_18,165,-44.79044306467
run_18,170,-29.326784082202657
run_18,175,-27.531532530924572
run_18,180,-12.156045640908598
run_18,185,-18.11651193482881
run_18,190,-68.84232592114738
run_18,195,-17.389878868706923
run_18,200,-35.700958936504435
run_18,205,-18.62357680436029
run_18,210,-36.348638291300645
run_18,215,-12.099759823378914
run_18,220,-100.61502390379346
run_18,225,199.68279064557686
run_18,230,27.976834921372557
run_18,235,-10.427450065012337
run_18,240,-3.967862307006771
run_18,245,163.81554251400735
run_18,250,52.523832456400626
run_18,255,179.51811022121308
run_18,260,228.04835810142058
run_18,265,171.12744424257306
run_18,270,168.64418239054245
run_18,275,117.59972735999254
run_18,280,146.3920878667136
run_18,285,150.31891832259433
run_18,290,185.9250679580585
run_18,295,95.94324504900644
run_18,300,227.0962499432363
run_18,305,211.17551693667102
run_18,310,263.3013673130052
run_19,5,-227.8016756125494
run_19,10,-563.0680882440877
run_19,15,-769.7110109170773
run_19,20,-636.538643466755
run_19,25,-448.64853509211025
run_19,30,-226.42570778657824
run_19,35,-19.31571673004529
run_19,40,11.540301781661848
run_19,45,-146.8967723011686
run_19,50,-116.947703654149
run_19,55,-126.024519431573
run_19,60,-101.04435160375343
run_19,65,-160.8785268562326
run_19,70,-207.2845011830882
run_19,75,-180.87616467615842
run_19,80,-69.19860468447243
run_19,85,-84.31456759462279
run_19,90,-166.1410095252248
run_19,95,-80.0239445483588
run_19,100,-84.50837431763946
run_19,105,-52.996992018869335
run_19,110,-54.68017460503252
run_19,115,-65.95470248857407
run_19,120,-106.13621824068294
run_19,125,-70.81579631599689
run_19,130,-70.16049617827541
run_19,135,-100.95565462532264
run_19,140,-110.61122084123477
run_19,145,-105.8280019189378
run_19,150,-123.94847988888607
run_19,155,-95.81618698582345
run_19,160,-77.47750033304646
run_19,165,-58.21996338444099
run_19,170,-54.508473249884254
run_19,175,-62.3297274455246
run_19,180,-35.95016019847577
run_19,185,-27.215092609658278
run_19,190,-19.370077089802557
run_19,195,-25.142041557352176
run_19,200,-4.6352756716556955
run_19,205,-18.642342041684703
run_19,210,-14.574114711870541
run_19,215,-16.19291857043665
run_19,220,-39.59506337657472
run_19,225,-9.64447698940921
run_19,230,-17.207238871531924
run_19,235,-14.427630255152703
run_19,240,-20.321622516999025
run_19,245,5.899793438488683
run_19,250,28.919971011898262
run_19,255,26.8928037444466
run_19,260,60.04963181312162
run_19,265,25.203721324865835
run_19,270,30.2576785968161
run_19,275,0.8525423793648901
run_19,280,132.28416340841403
run_19,285,-6.798159495122091
run_19,290,192.63369239208777
run_19,295,245.1361670145931
run_19,300,151.5030472384006
run_19,305,28.419221574100412
run_19,310,-70.78096502577337
run_19,315,254.6433219116305
run_2,5,-804.3686772864671
run_2,10,-876.2586284515359
run_2,15,-1030.065659780435
run_2,20,-592.3760261560914
run_2,25,-660.0044515647359
run_2,30,-244.9056054779281
run_2,35,-261.33292198302536
run_2,40,-233.6463178823505
run_2,45,-158.31213735361186
run_2,50,-227.30255897484307
run_2,55,-179.46298823619045
run_2,60,-249.72767599325212
run_2,65,-255.92086761116371
run_2,70,-190.2676187658635
run_2,75,-195.21146826811787
run_2,80,-192.41299992414883
run_2,85,-152.9897488689308
run_2,90,-211.88143195013762
run_2,95,-205.76773433227135
run_2,100,-205.91648958673915
run_2,105,-196.43625533952093
run_2,110,-138.55692245429077
run_2,115,-127.53631933904656
run_2,120,-135.94185928141752
run_2,125,-132.5530786402675
run_2,130,-157.7084326706504
run_2,135,-92.20239780993191
run_2,140,-138.69398085899326
run_2,145,-158.26788881431293
run_2,150,-120.72294455104804
run_2,155,-122.55930126631692
run_2,160,-173.14444894387174
run_2,165,-70.02435708044291
run_2,170,-55.61416170587084
run_2,175,-30.167239665528832
run_2,180,-31.337762068903157
run_2,185,-41.74238643224094
run_2,190,-26.2189462135844
run_2,195,-3.624011725301004
run_2,200,-25.804504226575254
run_2,205,9.05775166226687
run_2,210,-45.564693829016406
run_2,215,-13.644210263225034
run_2,220,-16.918160061293186
run_2,225,159.48668434210737
run_2,230,216.42011925346378
run_2,235,48.50307832873246
run_2,240,-171.3253646536362
run_2,245,54.05236007348312
run_2,250,-49.954986132660466
run_2,255,-60.182416351719986
run_2,260,-59.68298427715278
run_2,265,-273.65173976930464
run_2,270,185.61898929863608
run_2,275,-57.33837560307633
run_2,280,253.4966662273727
run_20,5,-660.8728284868246
run_20,10,-61.47863394749451
run_20,15,-134.55486681965823
run_20,20,-96.61721223853978
run_20,25,-581.6391380866451
run_20,30,-375.5775838452229
run_20,35,-373.9368578082162
run_20,40,-161.72811288150982
run_20,45,-134.6426657404759
run_20,50,-144.90853603161386
run_20,55,-322.2039669259251
run_20,60,-201.05412272310366
run_20,65,-295.23336009406364
run_20,70,-136.77978920310585
run_20,75,-255.08913592773496
run_20,80,-188.88514218739348
run_20,85,-215.899680137004
run_20,90,-176.844178475281
run_20,95,-115.93096555834549
run_20,100,-149.96870610962264
run_20,105,-137.11124650145558
run_20,110,-115.98613421528512
run_20,115,-115.43478395793154
run_20,120,-131.53226612991008
run_20,125,-138.3178031272155
run_20,130,-91.46116379432979
run_20,135,-123.39229984422721
run_20,140,-87.55958480045433
run_20,145,-105.49657144194907
run_20,150,-103.42047851275409
run_20,155,-36.309415758031946
run_20,160,-39.654438844002826
run_20,165,-29.83798855602502
run_20,170,-41.7515188219134
run_20,175,-43.16249384587468
run_20,180,-20.998787179860777
run_20,185,-35.09689504870433
run_20,190,-5.304223102305891
run_20,195,-20.638703998478302
run_20,200,39.63438759404842
run_20,205,-10.916045850420335
run_20,210,-20.757383976499238
run_20,215,5.837116426728255
run_20,220,-16.536542222740607
run_20,225,-12.874094056889598
run_20,230,89.73266775496208
run_20,235,57.056630088897556
run_20,240,179.37714393552972
run_20,245,32.43335661893542
run_20,250,242.46311436421328
run_20,255,87.49541055904135
run_20,260,189.65966612479306
run_20,265,39.36400687630928
run_20,270,196.71814703736558
run_20,275,198.98270630928343
run_20,280,7.831524553596907
run_20,285,-285.25207615709616
run_20,290,273.9708860802568
run_3,5,-543.4842596384057
run_3,10,-181.3321071473683
run_3,15,-114.53010316195898
run_3,20,-168.31744131415434
run_3,25,-416.86788268136786
run_3,30,-129.4985025752885
